estacion,date,rain,x,y,modif
35025110-LA LIBERTAD_AUT,2012-04-13,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-14,5.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-15,4.2,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-16,2.3,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-17,13.9,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-18,1.2,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-19,0.2,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-04-20,9.5,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-21,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-22,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-23,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-24,0.2,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-25,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-26,63.3,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-27,31.2,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-28,5.4,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-29,62.2,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-30,57.2,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-01-05,6.6,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-02-05,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-05,0.6,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-05,0.8,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-05-05,31.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-05,7.1,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-05,3.8,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-05,1.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-09-05,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-10-05,0.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-11-05,58.2,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-12-05,21.1,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-05-13,0.0,-73.467917,4.057361,SI
