estacion,date,tmax,tmin,rhum,esol,x,y,modif
35025110-LA LIBERTAD_AUT,2012-03-15,32.6,23.2,76.99,462.01,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-16,32.6,23.2,76.99,182.45,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-17,33.8,21.0,76.56,285.59,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-18,30.4,22.4,86.0,197.33,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-19,30.8,21.8,84.5,331.9,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-20,31.6,24.0,79.02,200.28,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-21,30.2,22.0,84.79,494.89,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-22,30.6,22.8,86.7,451.59,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-23,30.2,22.6,89.07,392.1,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-24,28.8,21.8,88.21,388.57,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-25,30.0,22.0,86.46,387.97,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-26,30.0,22.6,86.55,265.18,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-27,32.2,21.8,79.25,287.63,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-28,30.0,21.4,87.17,197.43,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-29,30.8,21.2,84.46,379.8,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-30,30.57,20.2,82.92,331.88,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-31,28.4,21.0,87.2,445.15,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-01-04,31.2,21.2,83.43,239.55,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-02-04,31.6,22.4,80.7,456.33,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-03-04,30.2,23.0,86.51,225.48,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-04,29.4,21.4,88.06,309.55,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-05-04,25.8,23.68,94.1,366.16,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-04,32.8,20.8,76.26,232.95,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-04,30.6,21.2,84.81,240.07,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-04,29.6,21.0,87.55,500.69,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-09-04,29.4,23.4,84.0,176.92,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-10-04,30.4,22.0,84.86,273.52,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-11-04,30.0,22.6,86.55,376.45,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-12-04,26.3,21.8,94.08,429.59,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-13,28.4,21.2,87.09,532.86,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-14,30.6,21.8,85.72,167.24,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-15,32.6,21.6,77.99,604.14,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-16,28.4,20.8,87.01,406.01,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-17,32.2,21.6,80.7,448.93,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-18,32.2,20.6,82.63,496.15,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-19,28.0,22.2,79.75,255.36,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-04-20,29.2,23.0,87.99,424.87,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-21,31.4,22.0,81.53,404.13,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-22,31.2,22.2,84.94,206.12,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-23,29.6,22.2,88.92,322.49,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-24,32.4,21.4,79.0,615.43,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-25,32.6,22.4,76.22,301.05,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-26,31.4,21.8,82.56,332.5,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-27,31.4,20.8,82.18,376.78,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-28,32.4,21.72,77.13,390.2,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-29,32.4,22.4,77.26,491.23,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-30,31.6,21.6,81.86,485.21,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-01-05,31.0,21.4,84.78,394.7,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-02-05,28.4,20.4,88.1,280.14,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-03-05,29.4,20.2,86.88,367.95,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-04-05,30.0,20.0,81.85,368.67,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-05-05,27.8,23.2,90.96,546.52,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-06-05,30.2,21.6,84.45,227.44,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-07-05,29.0,20.8,86.95,341.31,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-08-05,30.4,21.6,85.36,406.79,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-09-05,30.0,22.0,86.46,216.0,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-10-05,30.2,21.4,87.68,162.31,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-11-05,30.4,21.0,84.09,413.6,-73.467917,4.057361,NO
35025110-LA LIBERTAD_AUT,2012-12-05,32.2,21.0,80.12,377.56,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-05-13,30.8,21.4,84.61,382.0,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-05-14,31.8,22.0,83.65,455.73,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-05-15,32.0,23.0,80.19,385.96,-73.467917,4.057361,SI
35025110-LA LIBERTAD_AUT,2012-05-16,30.6,22.4,87.08,419.87,-73.467917,4.057361,SI
