Date	Rain	TMAX	TMIN	RHUM	ESOL	Mes	A?	Modif	X	Y	ESTACION	NOMBRE_ESTACION
27/06/2012	1.26	30.11	21.28	89.83	400.35	junio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
28/06/2012	2.03	29.67	22.33	89.75	408.09	junio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
29/06/2012	0.00	30.94	20.67	86.67	479.20	junio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
30/06/2012	28.45	30.50	21.83	93.92	326.06	junio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
01/07/2012	0.25	30.94	20.33	87.79	440.94	julio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
02/07/2012	36.32	31.94	21.00	88.29	463.73	julio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
03/07/2012	15.24	30.61	21.28	92.08	358.13	julio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
04/07/2012	13.46	27.83	22.00	95.54	226.32	julio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
05/07/2012	0.00	31.78	22.11	87.71	497.18	julio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
06/07/2012	85.08	29.72	21.44	89.92	347.56	julio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
07/07/2012	1.01	29.06	21.06	87.95	349.69	julio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
08/07/2012	1.26	32.33	21.83	85.50	491.32	julio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
09/07/2012	16.25	28.94	22.67	93.62	285.90	julio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
10/07/2012	9.64	29.78	21.56	94.83	352.21	julio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
11/07/2012	0.50	29.94	21.89	91.96	384.79	julio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
12/07/2012	2.02	27.72	22.22	93.12	297.17	julio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
13/07/2012	1.26	29.83	22.61	88.04	432.69	julio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
14/07/2012	47.99	30.72	22.33	90.29	439.56	julio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
15/07/2012	111.50	29.11	21.61	92.45	440.96	julio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
16/07/2012	0.00	27.61	22.06	87.71	508.65	julio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
17/07/2012	1.78	28.39	23.11	85.63	625.06	julio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
18/07/2012	0.20	29.44	23.05	90.77	351.35	julio	2012	SI	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
19/07/2012	2.00	29.10	22.43	84.39	361.54	julio	2012	SI	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
20/07/2012	0.00	27.52	21.85	79.73	312.68	julio	2012	SI	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
21/07/2012	0.00	26.39	23.00	94.14	207.98	julio	2012	SI	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
22/07/2012	0.75	31.67	22.56	89.83	366.38	julio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
23/07/2012	18.79	28.89	20.83	95.25	274.03	julio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
24/07/2012	1.26	27.89	20.78	93.46	298.80	julio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
25/07/2012	0.25	32.56	20.67	86.04	524.17	julio	2012	NO	-72.21025	5.15669	50	FED_YOPAL_EL_RECREO
