Date	Rain	TMAX	TMIN	RHUM	ESOL	Mes	ANIO	Modif	X	Y	ESTACIO	NOMBRE_ESTACION
07/03/2012	0.0	33.2	20.4	77.4	508.5	marzo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
08/03/2012	0.0	32.4	20.0	76.6	535.3	marzo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
09/03/2012	1.0	29.6	21.0	87.8	362.6	marzo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
10/03/2012	17.0	31.6	20.6	78.0	454.6	marzo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
11/03/2012	61.0	31.6	20.0	67.5	454.8	marzo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
12/03/2012	5.5	30.8	20.0	78.7	475.1	marzo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
13/03/2012	0.0	29.8	21.0	89.6	365.9	marzo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
14/03/2012	0.0	31.8	21.4	71.7	458.9	marzo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
15/03/2012	0.0	33.0	21.0	77.3	485.1	marzo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
16/03/2012	17.8	30.6	21.6	79.9	377.9	marzo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
17/03/2012	0.0	33.8	20.0	68.7	560.6	marzo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
18/03/2012	0.5	30.2	21.0	88.9	371.1	marzo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
19/03/2012	3.0	30.6	22.0	79.9	368.5	marzo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
20/03/2012	15.9	30.8	21.0	83.6	497.1	marzo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
21/03/2012	8.4	29.6	21.0	87.8	362.6	marzo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
22/03/2012	26.5	30.0	20.6	87.9	411.7	marzo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
23/03/2012	2.5	29.0	21.8	90.1	323.6	marzo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
24/03/2012	17.4	28.0	20.0	87.7	276.4	marzo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
25/03/2012	18.0	30.2	20.8	90.0	390.6	marzo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
26/03/2012	58.0	29.6	21.0	87.8	362.6	marzo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
27/03/2012	56.3	31.4	19.2	65.8	151.2	marzo	2012	NO	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
28/03/2012	3.0	30.0	20.0	86.6	463.6	marzo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
29/03/2012	24.5	31.4	21.0	78.0	422.6	marzo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
30/03/2012	19.0	25.0	21.8	93.2	260.3	marzo	2012	SI	-73.46865	4.26775	16	FED_CUMARAL_BARCELONA
